home_team,away_team,home_score,away_score
AFC Eskilstuna,Hammarby,0,0
Sundsvall,Kalmar,1,3
Örebro,Hammarby,0,3
IFK Göteborg,Häcken,1,1
Sirius,IFK Norrköping,0,1
Djurgården,Halmstad,2,1
Östersund,AIK,0,3
AFC Eskilstuna,Malmö FF,3,1
Jönköping,Elfsborg,2,2
Elfsborg,IFK Göteborg,1,2
Häcken,Sundsvall,2,0
IFK Norrköping,Djurgården,0,1
Jönköping,Örebro,1,2
AIK,AFC Eskilstuna,1,1
Hammarby,Östersund,2,2
Halmstad,Sirius,0,3
Malmö FF,Kalmar,6,0
IFK Göteborg,AIK,2,1
Djurgården,Malmö FF,0,1
IFK Norrköping,AFC Eskilstuna,1,0
Sirius,AIK,1,4
Hammarby,Häcken,1,2
Kalmar,IFK Göteborg,1,0
Sundsvall,Östersund,1,1
Örebro,Elfsborg,2,2
Halmstad,Jönköping,6,1
AFC Eskilstuna,Djurgården,1,2
Häcken,Örebro,1,1
AIK,Kalmar,0,1
IFK Göteborg,IFK Norrköping,4,1
Östersund,Halmstad,0,0
Sundsvall,Malmö FF,0,1
Elfsborg,Sirius,0,2
Jönköping,Hammarby,1,0
Hammarby,Elfsborg,2,1
IFK Göteborg,Örebro,2,2
Kalmar,AFC Eskilstuna,2,0
Djurgården,Östersund,3,0
Sirius,Häcken,2,2
Halmstad,Sundsvall,2,2
Malmö FF,Jönköping,2,0
Elfsborg,Hammarby,3,0
Jönköping,Häcken,0,1
AIK,IFK Norrköping,1,0
Östersund,Djurgården,2,1
Örebro,IFK Göteborg,4,2
AFC Eskilstuna,Kalmar,2,1
Malmö FF,Sirius,3,3
Sundsvall,Halmstad,1,0
Djurgården,Sundsvall,2,1
IFK Göteborg,Halmstad,1,1
Kalmar,AIK,0,1
Östersund,Jönköping,1,1
IFK Norrköping,Elfsborg,1,3
Häcken,Malmö FF,0,1
Hammarby,Örebro,3,1
Sirius,AFC Eskilstuna,1,0
Djurgården,Kalmar,4,1
Häcken,Hammarby,2,0
AIK,Östersund,2,2
Örebro,IFK Norrköping,4,2
Jönköping,IFK Göteborg,0,2
Halmstad,Elfsborg,1,1
Malmö FF,AFC Eskilstuna,3,2
Sundsvall,Sirius,1,2
IFK Norrköping,IFK Göteborg,2,0
Sirius,Halmstad,2,1
AFC Eskilstuna,AIK,1,3
Hammarby,Djurgården,3,1
Jönköping,Malmö FF,1,2
Kalmar,Örebro,0,1
Östersund,Sundsvall,3,1
Elfsborg,Häcken,2,0
IFK Norrköping,AIK,0,0
AIK,Malmö FF,0,1
Häcken,Östersund,0,1
Örebro,Sirius,2,1
IFK Göteborg,Elfsborg,1,1
Hammarby,Jönköping,2,2
IFK Norrköping,Halmstad,3,2
Djurgården,AFC Eskilstuna,4,1
Kalmar,Sundsvall,3,0
Djurgården,AIK,0,1
Elfsborg,Jönköping,3,0
Sundsvall,IFK Göteborg,0,4
Malmö FF,IFK Norrköping,1,2
AFC Eskilstuna,Häcken,0,0
Sirius,Hammarby,1,1
Halmstad,Örebro,0,0
Östersund,Kalmar,2,1
Elfsborg,AFC Eskilstuna,2,1
Jönköping,Djurgården,1,1
Hammarby,Malmö FF,1,1
Häcken,Halmstad,2,1
Örebro,Sundsvall,0,2
Östersund,Sirius,0,0
IFK Norrköping,Kalmar,2,0
Djurgården,IFK Göteborg,1,0
Malmö FF,Östersund,2,1
Sirius,Elfsborg,4,1
Halmstad,Hammarby,1,2
Sundsvall,Jönköping,0,0
AIK,Örebro,1,0
Kalmar,Häcken,0,1
AFC Eskilstuna,IFK Norrköping,1,2
Elfsborg,Malmö FF,1,2
IFK Norrköping,Sundsvall,0,0
Jönköping,AFC Eskilstuna,1,0
Örebro,Djurgården,0,4
IFK Göteborg,Kalmar,3,0
Östersund,Hammarby,2,1
Halmstad,AIK,0,1
Häcken,Sirius,2,2
Elfsborg,Östersund,4,4
Häcken,IFK Göteborg,4,0
Djurgården,IFK Norrköping,3,3
Sirius,Jönköping,1,1
Kalmar,Halmstad,2,0
Malmö FF,Örebro,2,1
AIK,Sundsvall,0,0
Hammarby,AFC Eskilstuna,4,0
AIK,Sirius,1,0
Halmstad,Djurgården,0,1
IFK Norrköping,Jönköping,3,0
Kalmar,Malmö FF,0,0
AFC Eskilstuna,Östersund,1,3
IFK Göteborg,Hammarby,1,1
Sundsvall,Elfsborg,1,1
Örebro,Häcken,0,0
Malmö FF,Djurgården,3,2
Sirius,Kalmar,3,0
AFC Eskilstuna,Halmstad,0,0
Östersund,IFK Göteborg,1,1
Hammarby,Sundsvall,0,0
Häcken,IFK Norrköping,1,2
Jönköping,AIK,2,1
Elfsborg,Örebro,3,0
IFK Göteborg,AFC Eskilstuna,1,1
IFK Norrköping,Sirius,0,2
AIK,Hammarby,1,2
Kalmar,Jönköping,1,3
Djurgården,Elfsborg,3,0
Sundsvall,Häcken,1,2
Halmstad,Malmö FF,0,3
Örebro,Östersund,2,1
Malmö FF,Sundsvall,2,0
Elfsborg,AIK,1,2
Häcken,Djurgården,0,0
Jönköping,Halmstad,2,2
Sirius,IFK Göteborg,0,2
Hammarby,Kalmar,1,1
Östersund,IFK Norrköping,1,0
AFC Eskilstuna,Örebro,2,2
Djurgården,Sirius,0,2
Kalmar,Elfsborg,1,5
Örebro,Jönköping,2,1
IFK Norrköping,Hammarby,2,1
AIK,Häcken,0,0
Sundsvall,AFC Eskilstuna,3,1
Halmstad,Östersund,1,0
IFK Göteborg,Malmö FF,1,1
