home_team,away_team
AIK,Djurgården
Häcken,Jönköping
IFK Norrköping,Östersund
Kalmar,Sirius
Elfsborg,Halmstad
Malmö FF,IFK Göteborg
Sundsvall,Örebro
Östersund,AFC Eskilstuna
Elfsborg,Kalmar
Halmstad,Häcken
Hammarby,AIK
Örebro,Malmö FF
Jönköping,IFK Norrköping
Sirius,Sundsvall
IFK Göteborg,Djurgården
Häcken,Elfsborg
Kalmar,IFK Norrköping
IFK Göteborg,Jönköping
Djurgården,Örebro
AIK,Halmstad
Sirius,Östersund
Malmö FF,Hammarby
AFC Eskilstuna,Sundsvall
Elfsborg,Djurgården
IFK Norrköping,Häcken
Halmstad,Kalmar
Hammarby,IFK Göteborg
Jönköping,Sirius
Östersund,Malmö FF
Örebro,AFC Eskilstuna
Sundsvall,AIK
Halmstad,IFK Norrköping
Djurgården,Hammarby
Kalmar,Östersund
Häcken,AIK
Jönköping,Sundsvall
AFC Eskilstuna,IFK Göteborg
Malmö FF,Elfsborg
Sirius,Örebro
IFK Göteborg,Sirius
AFC Eskilstuna,Jönköping
Malmö FF,Halmstad
Sundsvall,Djurgården
Östersund,Häcken
AIK,Elfsborg
Hammarby,IFK Norrköping
Örebro,Kalmar
Halmstad,IFK Göteborg
Häcken,AFC Eskilstuna
Östersund,Örebro
AIK,Jönköping
Elfsborg,Sundsvall
Sirius,Djurgården
IFK Norrköping,Malmö FF
Kalmar,Hammarby
Örebro,Halmstad
AFC Eskilstuna,Elfsborg
Djurgården,Häcken
IFK Göteborg,Östersund
Sundsvall,IFK Norrköping
Hammarby,Sirius
Jönköping,Kalmar
Malmö FF,AIK
Djurgården,Jönköping
Halmstad,AFC Eskilstuna
Häcken,Kalmar
IFK Norrköping,Örebro
Sirius,Malmö FF
Sundsvall,Hammarby
Östersund,Elfsborg
AIK,IFK Göteborg
AFC Eskilstuna,Sirius
Elfsborg,IFK Norrköping
Hammarby,Halmstad
IFK Göteborg,Sundsvall
Jönköping,Östersund
Kalmar,Djurgården
Malmö FF,Häcken
Örebro,AIK
